item_id,category,price
0,D,12.8537268302406
1,A,63.23695911058201
2,B,76.90924825998663
3,E,78.47941906280606
4,B,74.43442223956399
5,C,75.38062991215928
6,A,15.311139910574488
7,B,58.072295722269956
8,D,80.46721644915304
9,D,18.465854413359665
10,B,11.084493014818108
11,C,83.31056484396923
12,A,74.10649488098403
13,C,47.098577522299834
14,E,94.63567893167547
15,B,78.99382851863241
16,C,97.10748474459197
17,E,93.63837335927205
18,C,53.31642426813764
19,E,77.92380807792094
20,D,70.22722499268751
21,D,83.03006890832424
22,B,80.89195620258928
23,C,23.790877302990406
24,D,31.03619786276917
25,A,33.915841945981064
26,D,83.66487032953094
27,D,82.966753353627
28,C,54.58018122454979
29,E,62.274903332672906
30,A,84.42299376715599
31,A,38.13342406099689
32,E,14.516089922472696
33,C,53.43367944512505
34,D,92.23454294638046
35,E,81.14214348640657
36,A,42.995557279763716
37,A,15.829422443455304
38,D,67.3227554844259
39,D,85.1041716283468
40,B,69.84537098091747
41,E,48.25671982867177
42,D,21.10182518611642
43,B,91.96968197236194
44,C,34.836249317804466
45,A,30.18583328436634
46,E,83.43789990486887
47,C,98.30979448514714
48,E,69.41442328702843
49,E,66.23294401220956
50,D,38.74877822989563
51,B,11.83721056166164
52,E,27.261807924043868
53,C,62.59873929009147
54,E,23.618481563444096
55,B,89.54522262381944
56,A,26.933021906759667
57,E,56.98940077107114
58,C,56.08119211919154
59,A,64.35510671166854
60,A,39.46906627462351
61,D,88.61807809587837
62,D,49.98713823775626
63,E,73.01382208629167
64,C,67.23197748700328
65,D,20.544047480773294
66,B,66.03754174323502
67,B,59.56324101829863
68,A,90.87436569303154
69,A,89.2788972836413
70,A,23.585930867048173
71,B,17.35166310279469
72,D,36.51329972897819
73,D,98.79515710158779
74,E,11.941639876568507
75,C,70.56030156155892
76,B,64.76623604568795
77,A,68.19204524120352
78,C,29.645730079366732
79,A,30.404561121986493
80,C,48.757787395644215
81,C,18.62720263602607
82,D,16.715188811704618
83,E,17.952350813748748
84,E,61.568125417563195
85,A,45.796767120810436
86,B,36.42551025915462
87,E,38.4237441686175
88,B,28.655497526416635
89,A,47.03548017897414
90,B,28.275226227997063
91,C,72.82414380693993
92,C,21.153926138854253
93,A,95.34178761227618
94,B,18.0837046114554
95,B,94.91146428518884
96,A,84.9965474368366
